gene_ID	RE_sample_size	RE_beta	RE_SE	RE_Z	RE_metaP	RE_I2	RE_H2	RE_Q_val	RE_Q_pval	RE_metaP_FDR
ENSG00000236871.7	13	-0.164985898323533	0.0309037016646065	-5.33870990970924	9.36102832946249e-08	0.0241461957698548	1.00024152027566	10.0114592767968	0.614955291353105	1.68467565159029e-05
ENSG00000231439.4	8	-0.257094485902916	0.048218001048408	-5.33191920678771	9.71801766346331e-08	0	1	5.18041375784412	0.637956988100303	1.71931512502618e-05
ENSG00000255642.1	12	-0.172225637487571	0.0325213990243274	-5.2957634866427	1.18520159694523e-07	0	1	5.24024864824928	0.918975274870789	2.07846932685342e-05
ENSG00000243422.2	13	0.208707679589788	0.0394316795452619	5.29289348048747	1.2039605419132e-07	0	1	10.6725179267518	0.557172671074773	2.09300688295032e-05
ENSG00000272049.1	3	-0.486083781719145	0.0923723654618474	-5.26222078744874	1.42325706364098e-07	0	1	0.581403845853867	0.747738528515128	2.45290993244056e-05
ENSG00000105227.14	12	0.232855206803732	0.0446514240495061	5.21495588910131	1.83860982420777e-07	36.5714209024437	1.57657638595679	16.8881027859353	0.111229331641816	3.11504132250523e-05
ENSG00000197181.11	3	-0.375912133608686	0.0720692789744969	-5.21598299521922	1.8284495040564e-07	0	1	0.539945899717486	0.763400144139296	3.11504132250523e-05
ENSG00000180914.10	12	-0.205227330859942	0.0396112706308315	-5.18103377123689	2.20659533099091e-07	13.7446188143926	1.15934795748936	10.5509513347942	0.481612292641456	3.70708015606473e-05
ENSG00000237517.9	12	0.125892231248786	0.0247486654530013	5.08682908530403	3.64099676916881e-07	0	1	8.96070399919662	0.625519656690732	6.06590061743524e-05
ENSG00000254221.2	11	-0.182818187745536	0.0359745337821891	-5.08187788763086	3.73721645731413e-07	30.3322112584612	1.43538357979167	14.4438216824064	0.153692803358195	6.17474639790282e-05
ENSG00000230091.6	12	-0.152251181498754	0.0300749857730815	-5.06238581948146	4.14042042354576e-07	0	1	9.23494482875509	0.60021572955311	6.78485943504318e-05
ENSG00000172716.16	11	0.251031410684361	0.0496880318240056	5.05215041669413	4.36863441235485e-07	34.2181616841124	1.52017642802555	14.8812548518628	0.136451438293707	7.1006292009592e-05
ENSG00000101639.18	10	0.155015728904448	0.0310704524391555	4.98916870322412	6.06396734308929e-07	0	1	5.33011506254342	0.804634352522708	9.77668025185815e-05
ENSG00000046647.13	13	0.141495262138919	0.0284091700851889	4.98061934631054	6.3381100435425e-07	0	1	9.97128124436709	0.618480239747845	0.000100572801228058
ENSG00000125450.10	12	-0.115297983341118	0.0231493991194818	-4.9806037187413	6.33862192613812e-07	0	1	6.39999299907561	0.845388048167552	0.000100572801228058
ENSG00000110446.10	12	-0.15972754182825	0.0321703888220414	-4.96504853304147	6.86838916859793e-07	7.18282998468329	1.0773868669288	13.0412801754919	0.290635924311658	0.000108120343510716
ENSG00000279413.1	13	0.211866438531497	0.0428291667965455	4.94677936505143	7.54514139906425e-07	0	1	9.21080652625402	0.684827082514027	0.000117845677226635
ENSG00000188312.13	8	-0.152442520727185	0.0308668272274907	-4.93871688216195	7.86382852094451e-07	0	1	3.95595601082957	0.784836231457738	0.000121871054101335
ENSG00000213185.6	13	-0.200032923415399	0.0406360005414402	-4.9225544037339	8.54218063669139e-07	41.2979871093056	1.70351909714245	20.2023532491621	0.0633536424456316	0.000131365596375949
ENSG00000163597.14	12	0.128598391482868	0.0261375092333063	4.92007062857385	8.65129881184339e-07	6.99148746316427	1.07517040400356	12.0877092810037	0.357086650842836	0.000132028065531582
ENSG00000101955.14	12	0.131537918379739	0.0267528917831904	4.91677383685257	8.7982096648923e-07	0	1	8.50694148542345	0.667300972299971	0.000132791925024673
ENSG00000237550.5	13	0.233657354460918	0.0475302225052731	4.91597434527042	8.8341966928179e-07	0	1	9.91700647846629	0.623241562633862	0.000132791925024673
ENSG00000141744.3	10	-0.183568430619368	0.0373635382790245	-4.91303658792993	8.96765339729252e-07	0	1	6.84479972875564	0.653274139888428	0.000133792034864681
ENSG00000161618.9	11	0.157902281671155	0.0322186010687718	4.90096641173547	9.53663617309914e-07	4.36818894559073	1.04567715384063	12.3538540989296	0.262072097647642	0.000141226985461184
